TIPO DE ARMA,CANTIDAD RETENIDA,MES,ANO
Pistolas,1,abril,2018
Pistola de lanzar gas,1,abril,2018
Revolver,1,abril,2018
Escopeta,4,abril,2018
Fusil M-16,0,abril,2018
Fifle  de aire comprimido,2,abril,2018
Chagon,0,abril,2018
Chilenas,0,abril,2018
Chaleco antibalas,0,abril,2018
Miras telescopicas,2,abril,2018
Capsulas 12 mm  (unidades),0,abril,2018
Capsulas 9 mm (unidades),11,abril,2018
Cargadores para pistola,1,abril,2018
Cartucho 9 mm,0,abril,2018
Perdigones,3000,abril,2018
Armas blancas,0,abril,2018
Pistolas,0,mayo,2018
Pistola de lanzar gas,4,mayo,2018
Revolver,0,mayo,2018
Escopeta,0,mayo,2018
Fusil M-16,0,mayo,2018
Fifle  de aire comprimido,0,mayo,2018
Chagon,0,mayo,2018
Chilenas,2,mayo,2018
Chaleco antibalas,0,mayo,2018
Miras telescopicas,0,mayo,2018
Capsulas 12 mm  (unidades),0,mayo,2018
Capsulas 9 mm (unidades),0,mayo,2018
Cargadores para pistola,35,mayo,2018
Cartucho 9 mm,1,mayo,2018
Perdigones,0,mayo,2018
Armas blancas,1,mayo,2018
Pistolas,3,junio,2018
Pistolas,3,junio,2018
Pistola de lanzar gas,0,junio,2018
Revolver,0,junio,2018
Escopeta,0,junio,2018
Fusil M-16,0,junio,2018
Fifle  de aire comprimido,0,junio,2018
Chagon,0,junio,2018
Chilenas,0,junio,2018
Chaleco antibalas,0,junio,2018
Miras telescopicas,0,junio,2018
Capsulas 12 mm  (unidades),0,junio,2018
Capsulas 9 mm (unidades),0,junio,2018
Cargadores para pistola,0,junio,2018
Cartucho 9 mm,0,junio,2018
Perdigones,0,junio,2018
Armas blancas,0,junio,2018
Pistolas,1,julio,2018
Pistola de lanzar gas,0,julio,2018
Revolver,1,julio,2018
Escopeta,0,julio,2018
Fusil M-16,0,julio,2018
Fifle  de aire comprimido,0,julio,2018
Chagon,0,julio,2018
Chilenas,0,julio,2018
Chaleco antibalas,0,julio,2018
Miras telescopicas,0,julio,2018
Capsulas 12 mm  (unidades),0,julio,2018
Capsulas 9 mm (unidades),0,julio,2018
Cargadores para pistola,0,julio,2018
Cartucho 9 mm,0,julio,2018
Perdigones,0,julio,2018
